season_code,gamecode_num,date,team_code,opponent_code,home_away,team_pts,team_fga,team_fgm,team_tpa,team_tpm,team_fta,team_ftm,team_to,team_usage,team_ts,team_efg,top3_usage_sum,usage_conc_top3,home_team_code,away_team_code,home_score,away_score,date_game,is_home,team_score,opp_score,margin,win_flag
E2025,2,2025-09-30T00:00:00+00:00,BAS,OLY,home,96.0,72.0,34.0,41.0,15.0,16.0,13.0,13.0,92.04,0.6072874493927125,0.5763888888888888,42.52,0.46197305519339416,BAS,OLY,96,102,2025-09-30T00:00:00+00:00,True,96,102,-6,0
E2025,2,2025-09-30T00:00:00+00:00,OLY,BAS,away,102.0,72.0,32.0,26.0,7.0,32.0,31.0,9.0,95.08,0.5924721189591078,0.4930555555555556,56.8,0.5973916701724863,BAS,OLY,96,102,2025-09-30T00:00:00+00:00,False,102,96,6,1
E2025,6,2025-09-30T00:00:00+00:00,MUN,PAN,away,79.0,65.0,28.0,28.0,8.0,21.0,15.0,13.0,87.24,0.5320581896551725,0.49230769230769234,42.480000000000004,0.4869325997248969,PAN,MUN,87,79,2025-09-30T00:00:00+00:00,False,79,87,-8,0
E2025,6,2025-09-30T00:00:00+00:00,PAN,MUN,home,87.0,60.0,31.0,18.0,5.0,23.0,20.0,9.0,79.12,0.6203650884198516,0.5583333333333333,38.6,0.4878665318503539,PAN,MUN,87,79,2025-09-30T00:00:00+00:00,True,87,79,8,1
E2025,13,2025-10-02T00:00:00+00:00,MAD,OLY,home,89.0,63.0,30.0,24.0,10.0,26.0,19.0,10.0,84.44,0.5977968833960237,0.5555555555555556,32.64,0.3865466603505448,MAD,OLY,89,77,2025-10-02T00:00:00+00:00,True,89,77,12,1
E2025,13,2025-10-02T00:00:00+00:00,OLY,MAD,away,77.0,61.0,24.0,27.0,8.0,28.0,21.0,12.0,85.32,0.5250954719039825,0.45901639344262296,51.04,0.5982184716361932,MAD,OLY,89,77,2025-10-02T00:00:00+00:00,False,77,89,-12,0
E2025,18,2025-10-03T00:00:00+00:00,BAR,PAN,away,103.0,67.0,34.0,34.0,16.0,25.0,19.0,15.0,93.0,0.6602564102564102,0.6268656716417911,42.480000000000004,0.45677419354838716,PAN,BAR,96,103,2025-10-03T00:00:00+00:00,False,103,96,7,1
E2025,18,2025-10-03T00:00:00+00:00,PAN,BAR,home,96.0,72.0,31.0,21.0,8.0,30.0,26.0,10.0,95.2,0.5633802816901409,0.4861111111111111,46.48,0.488235294117647,PAN,BAR,96,103,2025-10-03T00:00:00+00:00,True,96,103,-7,0
E2025,22,2025-10-09T00:00:00+00:00,BAS,PAN,home,84.0,71.0,31.0,26.0,7.0,21.0,15.0,15.0,95.24,0.5234297108673979,0.4859154929577465,47.28,0.4964300713985721,BAS,PAN,84,86,2025-10-09T00:00:00+00:00,True,84,86,-2,0
E2025,22,2025-10-09T00:00:00+00:00,PAN,BAS,away,86.0,73.0,32.0,25.0,8.0,20.0,14.0,18.0,99.8,0.5256723716381418,0.4931506849315068,58.400000000000006,0.5851703406813628,BAS,PAN,84,86,2025-10-09T00:00:00+00:00,False,86,84,2,1
E2025,27,2025-10-10T00:00:00+00:00,DUB,OLY,away,67.0,63.0,23.0,24.0,4.0,22.0,17.0,7.0,79.68,0.46092460099064386,0.3968253968253968,42.84,0.5376506024096386,OLY,DUB,86,67,2025-10-10T00:00:00+00:00,False,67,86,-19,0
E2025,27,2025-10-10T00:00:00+00:00,OLY,DUB,home,86.0,56.0,28.0,22.0,8.0,30.0,22.0,12.0,81.2,0.6213872832369942,0.5714285714285714,41.480000000000004,0.5108374384236454,OLY,DUB,86,67,2025-10-10T00:00:00+00:00,True,86,67,19,1
E2025,34,2025-10-14T00:00:00+00:00,IST,OLY,away,82.0,72.0,30.0,28.0,12.0,12.0,10.0,8.0,85.28,0.5305383022774327,0.5,45.52,0.5337711069418387,OLY,IST,78,82,2025-10-14T00:00:00+00:00,False,82,78,4,1
E2025,34,2025-10-14T00:00:00+00:00,OLY,IST,home,78.0,55.0,24.0,26.0,9.0,28.0,21.0,14.0,81.32,0.5793226381461676,0.5181818181818182,41.4,0.5090998524348254,OLY,IST,78,82,2025-10-14T00:00:00+00:00,True,78,82,-4,0
E2025,36,2025-10-15T00:00:00+00:00,ASV,PAN,away,85.0,58.0,28.0,32.0,15.0,20.0,14.0,6.0,72.8,0.6362275449101796,0.6120689655172413,30.52,0.41923076923076924,PAN,ASV,91,85,2025-10-15T00:00:00+00:00,False,85,91,-6,0
E2025,36,2025-10-15T00:00:00+00:00,PAN,ASV,home,91.0,64.0,35.0,20.0,7.0,21.0,14.0,6.0,79.24,0.6212452211906063,0.6015625,49.04,0.618879353861686,PAN,ASV,91,85,2025-10-15T00:00:00+00:00,True,91,85,6,1
E2025,43,2025-10-16T00:00:00+00:00,OLY,TEL,away,95.0,61.0,35.0,26.0,9.0,18.0,16.0,16.0,84.92,0.6892048752176436,0.6475409836065574,48.599999999999994,0.5723033443240696,TEL,OLY,94,95,2025-10-16T00:00:00+00:00,False,95,94,1,1
E2025,43,2025-10-16T00:00:00+00:00,TEL,OLY,home,94.0,70.0,35.0,27.0,10.0,19.0,14.0,12.0,90.36,0.5997958141909138,0.5714285714285714,42.28,0.4679061531651173,TEL,OLY,94,95,2025-10-16T00:00:00+00:00,True,94,95,-1,0
E2025,45,2025-10-17T00:00:00+00:00,IST,PAN,home,81.0,61.0,28.0,24.0,11.0,20.0,14.0,10.0,79.8,0.5802292263610316,0.5491803278688525,38.28,0.4796992481203008,IST,PAN,81,95,2025-10-17T00:00:00+00:00,True,81,95,-14,0
E2025,45,2025-10-17T00:00:00+00:00,PAN,IST,away,95.0,65.0,34.0,27.0,9.0,21.0,18.0,9.0,83.24,0.6398168103448276,0.5923076923076923,40.64,0.4882268140317156,IST,PAN,81,95,2025-10-17T00:00:00+00:00,False,95,81,14,1
E2025,58,2025-10-24T00:00:00+00:00,MUN,OLY,home,71.0,63.0,26.0,34.0,11.0,11.0,8.0,17.0,84.84,0.5232900943396226,0.5,34.2,0.40311173974540315,MUN,OLY,71,96,2025-10-24T00:00:00+00:00,True,71,96,-25,0
E2025,58,2025-10-24T00:00:00+00:00,OLY,MUN,away,96.0,63.0,37.0,28.0,13.0,15.0,9.0,10.0,79.6,0.6896551724137931,0.6904761904761905,38.32,0.48140703517587946,MUN,OLY,71,96,2025-10-24T00:00:00+00:00,False,96,71,25,1
E2025,60,2025-10-24T00:00:00+00:00,PAN,VIR,away,75.0,56.0,23.0,21.0,4.0,28.0,25.0,13.0,81.32,0.5488875878220141,0.44642857142857145,42.480000000000004,0.5223807181505166,VIR,PAN,92,75,2025-10-24T00:00:00+00:00,False,75,92,-17,0
E2025,60,2025-10-24T00:00:00+00:00,VIR,PAN,home,92.0,70.0,36.0,22.0,9.0,16.0,11.0,13.0,90.04,0.5970924195223261,0.5785714285714286,46.28,0.5139937805419813,VIR,PAN,92,75,2025-10-24T00:00:00+00:00,True,92,75,17,1
E2025,65,2025-10-28T00:00:00+00:00,PAN,TEL,home,99.0,76.0,35.0,27.0,9.0,25.0,20.0,7.0,94.0,0.5689655172413793,0.5197368421052632,54.16,0.5761702127659574,PAN,TEL,99,85,2025-10-28T00:00:00+00:00,True,99,85,14,1
E2025,65,2025-10-28T00:00:00+00:00,TEL,PAN,away,85.0,64.0,33.0,26.0,7.0,15.0,12.0,13.0,83.6,0.6019830028328612,0.5703125,35.32,0.42248803827751197,PAN,TEL,99,85,2025-10-28T00:00:00+00:00,False,85,99,-14,0
E2025,70,2025-10-29T00:00:00+00:00,MCO,OLY,away,92.0,60.0,33.0,24.0,10.0,22.0,16.0,7.0,76.67999999999999,0.6601607347876004,0.6333333333333333,45.64,0.5952008346374544,OLY,MCO,87,92,2025-10-29T00:00:00+00:00,False,92,87,5,1
E2025,70,2025-10-29T00:00:00+00:00,OLY,MCO,home,87.0,57.0,28.0,22.0,4.0,34.0,27.0,11.0,82.96000000000001,0.6045025013896609,0.5263157894736842,40.36,0.4864995178399228,OLY,MCO,87,92,2025-10-29T00:00:00+00:00,True,87,92,-5,0
E2025,77,2025-10-31T00:00:00+00:00,MCO,PAN,home,92.0,64.0,34.0,25.0,8.0,19.0,16.0,11.0,83.36,0.6357103372028745,0.59375,38.84,0.46593090211132443,MCO,PAN,92,84,2025-10-31T00:00:00+00:00,True,92,84,8,1
E2025,77,2025-10-31T00:00:00+00:00,PAN,MCO,away,84.0,67.0,33.0,24.0,8.0,16.0,10.0,9.0,83.03999999999999,0.5672609400324149,0.5522388059701493,46.519999999999996,0.5602119460500964,MCO,PAN,92,84,2025-10-31T00:00:00+00:00,False,84,92,-8,0
E2025,79,2025-10-31T00:00:00+00:00,HTA,OLY,away,58.0,60.0,22.0,29.0,7.0,9.0,7.0,13.0,76.96000000000001,0.4534083802376485,0.425,41.2,0.5353430353430353,OLY,HTA,62,58,2025-10-31T00:00:00+00:00,False,58,62,-4,0
E2025,79,2025-10-31T00:00:00+00:00,OLY,HTA,home,62.0,64.0,23.0,31.0,7.0,10.0,9.0,15.0,83.4,0.4532163742690058,0.4140625,39.2,0.47002398081534774,OLY,HTA,62,58,2025-10-31T00:00:00+00:00,True,62,58,4,1
E2025,83,2025-11-05T00:00:00+00:00,PAN,RED,away,68.0,68.0,24.0,33.0,9.0,16.0,11.0,12.0,87.04,0.453091684434968,0.41911764705882354,45.28,0.520220588235294,RED,PAN,86,68,2025-11-05T00:00:00+00:00,False,68,86,-18,0
E2025,83,2025-11-05T00:00:00+00:00,RED,PAN,home,86.0,65.0,33.0,22.0,3.0,21.0,17.0,13.0,87.24,0.5792025862068966,0.5307692307692308,44.28,0.5075653370013755,RED,PAN,86,68,2025-11-05T00:00:00+00:00,True,86,68,18,1
E2025,89,2025-11-07T00:00:00+00:00,OLY,PAR,home,80.0,56.0,24.0,22.0,8.0,31.0,24.0,17.0,86.64,0.5743825387708213,0.5,42.519999999999996,0.4907663896583564,OLY,PAR,80,71,2025-11-07T00:00:00+00:00,True,80,71,9,1
E2025,89,2025-11-07T00:00:00+00:00,PAR,OLY,away,71.0,61.0,31.0,17.0,5.0,5.0,4.0,15.0,78.2,0.5617088607594937,0.5491803278688525,42.88,0.5483375959079284,OLY,PAR,80,71,2025-11-07T00:00:00+00:00,False,71,80,-9,0
E2025,93,2025-11-11T00:00:00+00:00,PAN,PRS,away,101.0,67.0,36.0,25.0,12.0,26.0,17.0,10.0,88.44,0.6438041815400306,0.6268656716417911,43.6,0.49298959746720944,PRS,PAN,95,101,2025-11-11T00:00:00+00:00,False,101,95,6,1
E2025,93,2025-11-11T00:00:00+00:00,PRS,PAN,home,95.0,76.0,32.0,39.0,14.0,23.0,17.0,10.0,96.12,0.5515559684161635,0.5131578947368421,42.8,0.4452767374115688,PRS,PAN,95,101,2025-11-11T00:00:00+00:00,True,95,101,-6,0
E2025,100,2025-11-12T00:00:00+00:00,OLY,ZAL,home,95.0,64.0,33.0,22.0,7.0,30.0,22.0,9.0,86.2,0.6152849740932642,0.5703125,43.48,0.5044083526682134,OLY,ZAL,95,78,2025-11-12T00:00:00+00:00,True,95,78,17,1
E2025,100,2025-11-12T00:00:00+00:00,ZAL,OLY,away,78.0,78.0,27.0,33.0,6.0,25.0,18.0,10.0,99.0,0.43820224719101125,0.38461538461538464,41.04,0.41454545454545455,OLY,ZAL,95,78,2025-11-12T00:00:00+00:00,False,78,95,-17,0
E2025,104,2025-11-13T00:00:00+00:00,MAD,PAN,home,77.0,62.0,27.0,21.0,7.0,18.0,16.0,8.0,77.92,0.5506292906178489,0.49193548387096775,33.28,0.4271047227926078,MAD,PAN,77,87,2025-11-13T00:00:00+00:00,True,77,87,-10,0
E2025,104,2025-11-13T00:00:00+00:00,PAN,MAD,away,87.0,61.0,31.0,25.0,9.0,20.0,16.0,4.0,73.8,0.6232091690544412,0.5819672131147541,39.04,0.5289972899728997,MAD,PAN,77,87,2025-11-13T00:00:00+00:00,False,87,77,10,1
E2025,108,2025-11-14T00:00:00+00:00,MIL,OLY,home,88.0,62.0,34.0,28.0,13.0,11.0,7.0,9.0,75.84,0.6582884500299222,0.6532258064516129,34.88,0.459915611814346,MIL,OLY,88,87,2025-11-14T00:00:00+00:00,True,88,87,1,1
E2025,108,2025-11-14T00:00:00+00:00,OLY,MIL,away,87.0,62.0,31.0,26.0,10.0,18.0,15.0,7.0,76.92,0.6221395881006865,0.5806451612903226,40.4,0.5252210088403536,MIL,OLY,88,87,2025-11-14T00:00:00+00:00,False,87,88,-1,0
E2025,114,2025-11-20T00:00:00+00:00,DUB,PAN,away,82.0,65.0,29.0,23.0,4.0,23.0,20.0,10.0,85.12,0.5457933972310969,0.47692307692307695,40.6,0.4769736842105263,PAN,DUB,103,82,2025-11-20T00:00:00+00:00,False,82,103,-21,0
E2025,114,2025-11-20T00:00:00+00:00,PAN,DUB,home,103.0,66.0,40.0,27.0,11.0,15.0,12.0,9.0,81.6,0.709366391184573,0.6893939393939394,42.2,0.5171568627450981,PAN,DUB,103,82,2025-11-20T00:00:00+00:00,True,103,82,21,1
E2025,117,2025-11-21T00:00:00+00:00,OLY,PRS,home,98.0,69.0,30.0,32.0,14.0,31.0,24.0,12.0,94.64,0.5929332042594385,0.5362318840579711,47.4,0.5008453085376162,OLY,PRS,98,86,2025-11-21T00:00:00+00:00,True,98,86,12,1
E2025,117,2025-11-21T00:00:00+00:00,PRS,OLY,away,86.0,66.0,31.0,37.0,15.0,11.0,9.0,18.0,88.84,0.6070016939582157,0.5833333333333334,46.96,0.5285907248986943,OLY,PRS,98,86,2025-11-21T00:00:00+00:00,False,86,98,-12,0
E2025,123,2025-11-25T00:00:00+00:00,PAN,PAR,home,91.0,62.0,34.0,19.0,7.0,24.0,16.0,9.0,81.56,0.6270672546857773,0.6048387096774194,37.72,0.4624816086316822,PAN,PAR,91,69,2025-11-25T00:00:00+00:00,True,91,69,22,1
E2025,123,2025-11-25T00:00:00+00:00,PAR,PAN,away,69.0,62.0,25.0,24.0,4.0,16.0,15.0,7.0,76.03999999999999,0.4997103128621089,0.43548387096774194,37.08,0.4876380852183062,PAN,PAR,91,69,2025-11-25T00:00:00+00:00,False,69,91,-22,0
E2025,128,2025-11-26T00:00:00+00:00,OLY,RED,away,80.0,61.0,28.0,34.0,13.0,15.0,11.0,17.0,84.60000000000001,0.591715976331361,0.5655737704918032,48.52,0.5735224586288415,RED,OLY,91,80,2025-11-26T00:00:00+00:00,False,80,91,-11,0
E2025,128,2025-11-26T00:00:00+00:00,RED,OLY,home,91.0,66.0,32.0,35.0,15.0,15.0,12.0,11.0,83.6,0.6267217630853995,0.5984848484848485,42.4,0.507177033492823,RED,OLY,91,80,2025-11-26T00:00:00+00:00,True,91,80,11,1
E2025,139,2025-12-05T00:00:00+00:00,PAM,PAN,away,89.0,71.0,32.0,41.0,14.0,13.0,11.0,19.0,95.72,0.5800312825860271,0.5492957746478874,41.2,0.4304220643543669,PAN,PAM,79,89,2025-12-05T00:00:00+00:00,False,89,79,10,1
